event_id,customer_id,event_date,event_type,plan_from,plan_to,cancellation_reason
EVT-00175,CUST-0102,08/14/2024,upgrade,Growth,Starter,
EVT-00176,CUST-0103,06/18/2024,downgrade,Pro,Growth,
EVT-00177,CUST-0103,2024-11-20,cancellation,Growth,,
EVT-00178,CUST-0104,2024-06-14,downgrade,Pro,Enterprise,
EVT-00179,CUST-0105,02/27/2023,upgrade,Pro,Growth,
EVT-00180,CUST-0105,12/30/2023,cancellation,Growth,,
EVT-00181,CUST-0106,08/05/2022,downgrade,Growth,Growth,
EVT-00182,CUST-0106,2022-09-10,upgrade,Growth,Enterprise,
EVT-00183,CUST-0108,08/30/2023,upgrade,Growth,Growth,
EVT-00184,CUST-0108,2024-05-07,cancellation,Growth,,
EVT-00185,CUST-0109,04/23/2024,cancellation,Starter,,
EVT-00186,CUST-0110,2023-01-01,upgrade,Pro,Enterprise,
EVT-00187,CUST-0110,07-Sep-2023,cancellation,Enterprise,,Poor Support
EVT-00188,CUST-0111,2023-02-22,downgrade,Growth,Pro,
EVT-00189,CUST-0111,2023-11-10,upgrade,Pro,Starter,
EVT-00190,CUST-0112,08/28/2022,downgrade,Starter,Starter,
EVT-00191,CUST-0112,2023-05-04,downgrade,Starter,Starter,
EVT-00192,CUST-0113,2023-04-02,upgrade,Growth,Pro,
EVT-00193,CUST-0114,05/08/2024,upgrade,Pro,Pro,
EVT-00194,CUST-0114,2025-01-16,upgrade,Pro,Enterprise,
EVT-00195,CUST-0116,2023-04-14,upgrade,Pro,Growth,
EVT-00196,CUST-0116,04/03/2024,upgrade,Growth,Enterprise,
EVT-00197,CUST-0117,11/19/2023,upgrade,Enterprise,Starter,
EVT-00198,CUST-0117,10/06/2024,upgrade,Starter,Enterprise,
EVT-00199,CUST-0117,13-Feb-2024,cancellation,Enterprise,,
EVT-00200,CUST-0118,10/01/2024,upgrade,Starter,Starter,
EVT-00201,CUST-0118,2025-02-27,downgrade,Starter,Pro,
EVT-00202,CUST-0119,2023-11-05,upgrade,Starter,Starter,
EVT-00203,CUST-0120,04/11/2024,upgrade,Pro,Pro,
EVT-00204,CUST-0120,08/29/2024,upgrade,Pro,Starter,
EVT-00205,CUST-0120,2024-11-09,downgrade,Starter,Starter,
EVT-00206,CUST-0123,2023-11-07,downgrade,Pro,Growth,
EVT-00207,CUST-0123,2024-02-10,upgrade,Growth,Pro,
EVT-00208,CUST-0123,2024-06-18,upgrade,Pro,Pro,
EVT-00209,CUST-0124,2023-10-06,downgrade,Pro,Pro,
EVT-00210,CUST-0124,09/12/2024,upgrade,PRO,Growth,
EVT-00211,CUST-0125,2023-08-22,upgrade,Enterprise,Enterprise,
EVT-00212,CUST-0125,2024-08-22,downgrade,Enterprise,Growth,
EVT-00213,CUST-0127,11/23/2024,downgrade,Starter,Growth,
EVT-00214,CUST-0128,07/24/2022,upgrade,ENTERPRISE,Starter,
EVT-00215,CUST-0128,2023-05-03,upgrade,Starter,Enterprise,
EVT-00216,CUST-0128,2024-03-03,downgrade,Enterprise,Starter,
EVT-00217,CUST-0129,12/31/2023,upgrade,Starter,Starter,
EVT-00218,CUST-0130,2024-02-27,upgrade,Starter,Enterprise,
EVT-00219,CUST-0130,2024-08-16,downgrade,Enterprise,Starter,
EVT-00220,CUST-0131,2023-03-16,upgrade,Growth,Pro,
EVT-00221,CUST-0131,2023-10-28,downgrade,Pro,Starter,
EVT-00222,CUST-0133,2022-09-28,upgrade,Pro,Starter,
EVT-00223,CUST-0134,04-Jun-2023,cancellation,Starter,,Switched Competitor
EVT-00224,CUST-0135,11/19/2024,upgrade,Enterprise,Growth,
EVT-00225,CUST-0137,11/24/2023,upgrade,Pro,Growth,
EVT-00226,CUST-0137,2024-08-11,upgrade,Growth,Starter,
EVT-00227,CUST-0138,07/10/2024,upgrade,Starter,Growth,
EVT-00228,CUST-0139,01/21/2025,upgrade,Growth,Growth,
EVT-00229,CUST-0140,2023-02-14,upgrade,Starter,Pro,
EVT-00230,CUST-0140,01/20/2024,upgrade,Pro,Pro,
EVT-00231,CUST-0140,12/22/2024,downgrade,Pro,Enterprise,
EVT-00232,CUST-0141,2022-08-02,upgrade,Starter,Pro,
EVT-00233,CUST-0141,2023-09-01,downgrade,Pro,Starter,
EVT-00234,CUST-0141,2023-10-11,upgrade,Starter,Starter,
EVT-00235,CUST-0142,04/17/2024,upgrade,Starter,Enterprise,
EVT-00236,CUST-0142,2025-05-20,downgrade,Enterprise,Growth,
EVT-00237,CUST-0142,15-Jun-2024,cancellation,Growth,,
EVT-00238,CUST-0145,2024-03-23,downgrade,Starter,Enterprise,
EVT-00239,CUST-0145,2024-07-17,downgrade,Enterprise,Enterprise,
EVT-00240,CUST-0148,04/30/2024,upgrade,Enterprise,Pro,
EVT-00241,CUST-0148,10/12/2024,downgrade,Pro,Pro,
EVT-00242,CUST-0150,2022-12-10,cancellation,Starter,,Budget Cuts
EVT-00243,CUST-0152,2024-06-12,upgrade,Starter,Starter,
EVT-00244,CUST-0152,08/19/2024,upgrade,Starter,Enterprise,
EVT-00245,CUST-0152,02/02/2025,cancellation,Enterprise,,Switched Competitor
EVT-00246,CUST-0153,04/28/2023,downgrade,Starter,Starter,
EVT-00247,CUST-0153,2023-11-19,upgrade,Starter,Enterprise,
EVT-00248,CUST-0153,2024-09-26,upgrade,Enterprise,Growth,
EVT-00249,CUST-0153,10/28/2024,cancellation,Growth,,
EVT-00250,CUST-0154,2025-02-15,upgrade,Growth,Growth,
EVT-00251,CUST-0155,07/29/2024,upgrade,Starter,Enterprise,
EVT-00252,CUST-0155,02/10/2025,upgrade,Enterprise,Pro,
EVT-00253,CUST-0156,2024-07-23,upgrade,Starter,Pro,
EVT-00254,CUST-0156,2025-05-09,cancellation,Pro,,Budget Cuts
EVT-00255,CUST-0157,2024-07-26,upgrade,Pro,Growth,
EVT-00256,CUST-0157,11/14/2024,downgrade,Growth,Growth,
EVT-00257,CUST-0159,06/01/2023,upgrade,Starter,Enterprise,
EVT-00258,CUST-0159,03/09/2024,upgrade,Enterprise,Growth,
EVT-00259,CUST-0160,02/03/2023,upgrade,Growth,Starter,
EVT-00260,CUST-0161,2023-07-30,upgrade,Starter,Enterprise,
EVT-00261,CUST-0162,2023-05-01,upgrade,Growth,Pro,
EVT-00262,CUST-0162,12-Sep-2023,cancellation,Pro,,Price
EVT-00263,CUST-0164,03/27/2025,downgrade,Growth,Enterprise,
EVT-00264,CUST-0166,2024-03-13,downgrade,Growth,Pro,
EVT-00265,CUST-0169,2023-04-12,upgrade,Pro,Enterprise,
EVT-00266,CUST-0169,03/15/2024,upgrade,Enterprise,Pro,
EVT-00267,CUST-0169,2025-02-06,upgrade,Pro,Starter,
EVT-00268,CUST-0169,2023-06-30,cancellation,Starter,,Poor Support
EVT-00269,CUST-0170,2024-11-17,downgrade,Starter,Starter,
EVT-00270,CUST-0171,10/23/2024,upgrade,Starter,Enterprise,
EVT-00271,CUST-0173,2024-05-16,upgrade,Enterprise,Pro,
EVT-00272,CUST-0173,05/06/2024,cancellation,Pro,,Budget Cuts
EVT-00273,CUST-0174,07/13/2023,upgrade,Enterprise,Enterprise,
EVT-00274,CUST-0174,2024-05-23,cancellation,Enterprise,,
EVT-00275,CUST-0175,01/09/2023,downgrade,Starter,Starter,
EVT-00276,CUST-0176,2023-08-02,downgrade,Enterprise,Pro,
EVT-00277,CUST-0176,2023-12-07,upgrade,Pro,Enterprise,
EVT-00278,CUST-0177,09/03/2024,downgrade,Starter,Enterprise,
EVT-00279,CUST-0177,04/24/2025,cancellation,Enterprise,,Price
EVT-00280,CUST-0178,11/12/2023,upgrade,Growth,Pro,
EVT-00281,CUST-0178,10/01/2024,downgrade,Pro,Enterprise,
EVT-00282,CUST-0179,01/28/2023,downgrade,Growth,Growth,
EVT-00283,CUST-0179,2023-04-23,downgrade,Growth,Pro,
EVT-00284,CUST-0179,2024-02-19,downgrade,Pro,Starter,
EVT-00285,CUST-0180,11/20/2022,downgrade,Enterprise,Enterprise,
EVT-00286,CUST-0181,2024-08-09,downgrade,Starter,Pro,
EVT-00287,CUST-0182,2022-03-22,upgrade,Starter,Pro,
EVT-00288,CUST-0182,02/27/2023,downgrade,Pro,Starter,
EVT-00289,CUST-0182,04/21/2022,cancellation,Starter,,Price
EVT-00290,CUST-0183,03/29/2025,upgrade,Growth,Pro,
EVT-00291,CUST-0183,05/05/2025,cancellation,Pro,,Switched Competitor
EVT-00292,CUST-0184,05/27/2025,cancellation,Starter,,
EVT-00293,CUST-0185,07/20/2023,upgrade,Starter,Enterprise,
EVT-00294,CUST-0185,02/02/2024,upgrade,Enterprise,Growth,
EVT-00295,CUST-0185,03/10/2024,upgrade,Growth,Growth,
EVT-00296,CUST-0186,2024-02-19,downgrade,Growth,Growth,
EVT-00297,CUST-0186,01/25/2025,downgrade,Growth,Growth,
EVT-00298,CUST-0187,2024-02-27,downgrade,Pro,Enterprise,
EVT-00299,CUST-0187,03/31/2025,upgrade,Enterprise,Enterprise,
EVT-00300,CUST-0188,2023-08-26,upgrade,Pro,Growth,
EVT-00301,CUST-0190,2023-07-31,upgrade,Pro,Pro,
EVT-00302,CUST-0190,06/01/2024,downgrade,Pro,Pro,
EVT-00303,CUST-0190,12/22/2024,upgrade,Pro,Enterprise,
EVT-00304,CUST-0191,2024-02-26,downgrade,PRO,Starter,
EVT-00305,CUST-0191,11/04/2024,downgrade,Starter,Growth,
EVT-00306,CUST-0192,01/09/2024,upgrade,Pro,Growth,
EVT-00307,CUST-0192,05/06/2024,downgrade,GROWTH,Growth,
EVT-00308,CUST-0192,2025-01-04,downgrade,Growth,Growth,
EVT-00309,CUST-0193,2022-07-21,upgrade,Growth,Pro,
EVT-00310,CUST-0194,2022-10-31,upgrade,Pro,Growth,
EVT-00311,CUST-0194,2022-05-27,cancellation,Growth,,
EVT-00312,CUST-0195,2024-01-13,downgrade,Starter,Pro,
EVT-00313,CUST-0196,05/31/2023,upgrade,Starter,Growth,
EVT-00314,CUST-0196,05/27/2024,upgrade,Growth,Enterprise,
EVT-00315,CUST-0196,04/30/2025,upgrade,Enterprise,Pro,
EVT-00316,CUST-0199,02/15/2025,upgrade,Enterprise,Enterprise,
EVT-00317,CUST-0199,04/24/2025,downgrade,ENTERPRISE,Pro,
EVT-00318,CUST-0200,2023-04-24,downgrade,Growth,Enterprise,
EVT-00319,CUST-0200,03/17/2024,upgrade,Enterprise,Pro,
EVT-00320,CUST-0200,2025-03-08,downgrade,Pro,Starter,
EVT-00321,CUST-0201,04/06/2023,downgrade,Starter,Pro,
EVT-00322,CUST-0201,2023-05-19,downgrade,Pro,Enterprise,
EVT-00323,CUST-0201,2023-12-10,upgrade,Enterprise,Growth,
EVT-00324,CUST-0201,2024-07-23,cancellation,Growth,,Missing Features
EVT-00325,CUST-0202,2024-12-25,downgrade,Enterprise,Pro,
EVT-00326,CUST-0202,05/03/2025,cancellation,Pro,,Budget Cuts
EVT-00327,CUST-0203,10/17/2022,downgrade,Starter,Starter,
EVT-00328,CUST-0203,10/28/2023,downgrade,Starter,Starter,
EVT-00329,CUST-0203,04-May-2023,cancellation,Starter,,Price
EVT-00330,CUST-0204,07/03/2024,upgrade,Growth,Growth,
EVT-00331,CUST-0204,10/23/2024,upgrade,Growth,Enterprise,
EVT-00332,CUST-0206,10/27/2023,cancellation,Enterprise,,Price
EVT-00333,CUST-0207,2022-12-30,downgrade,Growth,Pro,
EVT-00334,CUST-0207,05/03/2023,upgrade,Pro,Enterprise,
EVT-00335,CUST-0207,2023-09-02,upgrade,Enterprise,Enterprise,
EVT-00336,CUST-0210,2024-10-03,downgrade,Pro,Pro,
EVT-00337,CUST-0210,01/31/2025,upgrade,Pro,Pro,
EVT-00338,CUST-0213,2023-02-10,downgrade,Enterprise,Growth,
EVT-00339,CUST-0214,03/01/2024,upgrade,Growth,Starter,
EVT-00340,CUST-0214,12/19/2024,downgrade,Starter,Growth,
EVT-00341,CUST-0215,09/11/2023,downgrade,Growth,Growth,
EVT-00342,CUST-0215,11/27/2022,cancellation,Growth,,Price
EVT-00343,CUST-0216,2024-07-03,downgrade,Growth,Starter,
EVT-00344,CUST-0217,2024-05-28,upgrade,Pro,Growth,
EVT-00345,CUST-0217,2024-09-07,downgrade,Growth,Starter,
EVT-00346,CUST-0218,01/12/2023,upgrade,Starter,Starter,
EVT-00347,CUST-0218,01/11/2024,downgrade,Starter,Enterprise,
EVT-00348,CUST-0218,2025-02-02,downgrade,Enterprise,Growth,
EVT-00349,CUST-0218,2023-08-15,cancellation,Growth,,
EVT-00350,CUST-0219,2024-08-25,upgrade,Growth,Pro,
EVT-00351,CUST-0219,2025-01-24,cancellation,Pro,,Price
EVT-00352,CUST-0220,2023-07-26,downgrade,Starter,Enterprise,
EVT-00353,CUST-0220,2024-07-19,cancellation,Enterprise,,Missing Features
EVT-00354,CUST-0221,07/27/2023,downgrade,Growth,Enterprise,
EVT-00355,CUST-0221,06/03/2024,upgrade,Enterprise,Enterprise,
EVT-00356,CUST-0224,02/23/2025,downgrade,Pro,Pro,
EVT-00357,CUST-0225,2024-08-03,downgrade,Starter,Enterprise,
EVT-00358,CUST-0226,2023-01-05,upgrade,Enterprise,Enterprise,
EVT-00359,CUST-0226,2023-03-12,downgrade,Enterprise,Growth,
EVT-00360,CUST-0226,2023-08-29,upgrade,Growth,Pro,
EVT-00361,CUST-0227,04/18/2023,upgrade,Growth,Starter,
EVT-00362,CUST-0227,03/06/2024,upgrade,Starter,Growth,
EVT-00363,CUST-0227,26-Oct-2024,cancellation,Growth,,Budget Cuts
EVT-00364,CUST-0228,2025-03-15,downgrade,Growth,Growth,
EVT-00365,CUST-0229,2023-10-30,downgrade,Pro,Growth,
EVT-00366,CUST-0230,17-Apr-2022,cancellation,Growth,,Budget Cuts
EVT-00367,CUST-0231,11/18/2023,upgrade,Pro,Enterprise,
EVT-00368,CUST-0232,06/24/2024,upgrade,Starter,Starter,
EVT-00369,CUST-0232,01/31/2025,upgrade,Starter,Pro,
EVT-00370,CUST-0233,2024-12-22,cancellation,Growth,,
EVT-00371,CUST-0234,2024-04-29,downgrade,Growth,Growth,
EVT-00372,CUST-0234,2025-01-21,upgrade,Growth,Starter,
EVT-00373,CUST-0235,2024-09-05,downgrade,Enterprise,Growth,
EVT-00374,CUST-0236,22-Nov-2022,cancellation,Starter,,Price
EVT-00375,CUST-0237,06/29/2024,upgrade,Growth,Pro,
EVT-00376,CUST-0237,2025-05-02,upgrade,Pro,Growth,
EVT-00377,CUST-0238,03/31/2023,downgrade,Growth,Starter,
EVT-00378,CUST-0239,03/13/2024,upgrade,Growth,Growth,
EVT-00379,CUST-0240,12/18/2024,upgrade,Starter,Growth,
EVT-00380,CUST-0240,2025-01-31,downgrade,Growth,Enterprise,
EVT-00381,CUST-0241,08/05/2024,downgrade,Growth,Growth,
EVT-00382,CUST-0243,2024-06-26,downgrade,Starter,Growth,
EVT-00383,CUST-0243,2025-02-08,cancellation,Growth,,Switched Competitor
EVT-00384,CUST-0244,10/19/2023,upgrade,Pro,Enterprise,
EVT-00385,CUST-0244,01/27/2024,upgrade,Enterprise,Pro,
EVT-00386,CUST-0244,04/01/2024,downgrade,Pro,Enterprise,
EVT-00387,CUST-0245,01/25/2024,upgrade,Starter,Pro,
EVT-00388,CUST-0245,2024-09-02,upgrade,Pro,Growth,
